variant_id,pattern_id,category,difficulty,metadata_compiler_fixable,resistance_threshold,slow_ms_O0,fast_ms_O0,speedup_O0,resistant_O0,slow_ms_O2,fast_ms_O2,speedup_O2,resistant_O2,slow_ms_O3,fast_ms_O3,speedup_O3,resistant_O3,slow_ms_O3_fast_math,fast_ms_O3_fast_math,speedup_O3_fast_math,resistant_O3_fast_math,slow_ms_O3_lto,fast_ms_O3_lto,speedup_O3_lto,resistant_O3_lto
HR-2_v000,HR-2,Human-Style Antipatterns,medium,False,1.5,43.9843,47.7297,0.92,False,23.417,11.7893,1.99,True,22.491,11.5857,1.94,True,5.4133,3.3403,1.62,True,9.6593,5.0997,1.89,True
HR-2_v001,HR-2,Human-Style Antipatterns,medium,False,1.5,8.519,8.5837,0.99,False,4.5077,2.4757,1.82,True,4.4227,2.4357,1.82,True,0.427,0.31,1.38,False,1.4983,0.8477,1.77,True
HR-2_v002,HR-2,Human-Style Antipatterns,medium,False,1.5,8.9867,8.9557,1.0,False,4.5067,2.3777,1.9,True,4.1173,2.2283,1.85,True,0.426,0.3193,1.33,False,1.524,0.895,1.7,True
HR-2_v003,HR-2,Human-Style Antipatterns,medium,False,1.5,41.7157,47.241,0.88,False,22.9173,11.621,1.97,True,21.4613,11.3793,1.89,True,4.873,2.9523,1.65,True,8.692,4.4953,1.93,True
HR-2_v004,HR-2,Human-Style Antipatterns,medium,False,1.5,42.893,47.002,0.91,False,21.8557,11.1557,1.96,True,21.3933,11.3703,1.88,True,4.8187,3.193,1.51,True,9.5603,4.7263,2.02,True
HR-2_v005,HR-2,Human-Style Antipatterns,medium,False,1.5,9.0017,9.6997,0.93,False,4.4543,2.3113,1.93,True,4.4107,2.3203,1.9,True,0.866,0.6097,1.42,False,1.774,0.942,1.88,True
HR-2_v006,HR-2,Human-Style Antipatterns,medium,False,1.5,8.551,8.951,0.96,False,4.3667,2.2923,1.9,True,4.2283,2.3297,1.81,True,0.421,0.299,1.41,False,1.479,0.8637,1.71,True
HR-2_v007,HR-2,Human-Style Antipatterns,medium,False,1.5,8.7283,8.6353,1.01,False,4.3927,2.331,1.88,True,4.2073,2.29,1.84,True,0.41,0.316,1.3,False,1.4873,0.8673,1.71,True
HR-2_v008,HR-2,Human-Style Antipatterns,medium,False,1.5,8.1867,9.5603,0.86,False,4.7317,2.4503,1.93,True,4.592,2.3943,1.92,True,0.88,0.6313,1.39,False,1.866,1.0097,1.85,True
HR-2_v009,HR-2,Human-Style Antipatterns,medium,False,1.5,8.5737,8.7557,0.98,False,4.5563,2.6857,1.7,True,4.4107,2.376,1.86,True,0.4363,0.3333,1.31,False,1.5223,0.8643,1.76,True
HR-2_v010,HR-2,Human-Style Antipatterns,medium,False,1.5,8.9197,9.4223,0.95,False,4.626,2.466,1.88,True,4.0153,2.372,1.69,True,0.4123,0.3103,1.33,False,1.4787,0.8653,1.71,True
HR-2_v011,HR-2,Human-Style Antipatterns,medium,False,1.5,23.7493,23.9293,0.99,False,11.3113,5.793,1.95,True,11.2133,5.7803,1.94,True,2.622,1.5587,1.68,True,4.8657,2.4403,1.99,True
HR-2_v012,HR-2,Human-Style Antipatterns,medium,False,1.5,23.137,23.3647,0.99,False,11.1373,5.786,1.92,True,10.9503,5.5663,1.97,True,3.7777,1.849,2.04,True,4.6363,2.346,1.98,True
HR-2_v013,HR-2,Human-Style Antipatterns,medium,False,1.5,46.6213,47.1237,0.99,False,22.2153,11.5813,1.92,True,22.929,11.572,1.98,True,5.9533,3.2,1.86,True,9.703,4.7453,2.04,True
HR-2_v014,HR-2,Human-Style Antipatterns,medium,False,1.5,8.6617,8.802,0.98,False,4.1477,2.2217,1.87,True,4.0093,2.201,1.82,True,0.4313,0.3007,1.43,False,1.5163,0.823,1.84,True
