setup_id,link_order,env_pad_size,slow_ms,fast_ms,speedup
1,testdelsslow,0,43.0120,0.0630,682.73
2,testdelsslow,64,43.0720,0.0590,730.03
3,testdelsslow,256,43.4380,0.1300,334.14
4,testdelsslow,1024,43.2010,0.0630,685.73
5,fastslowtest,0,43.5490,0.2010,216.66
6,fastslowtest,64,43.7250,0.1130,386.95
7,fastslowtest,256,43.2740,0.2700,160.27
8,fastslowtest,1024,43.8860,0.0600,731.43
9,helpertestde,0,49.1440,0.0810,606.72
10,helpertestde,64,51.2770,0.0600,854.62
11,helpertestde,256,49.7020,0.0620,801.65
12,helpertestde,1024,55.1550,0.0630,875.48
13,slowhelperfa,0,44.9410,0.0620,724.85
14,slowhelperfa,64,45.0740,0.1740,259.05
15,slowhelperfa,256,47.2450,0.0640,738.20
16,slowhelperfa,1024,46.6030,0.0590,789.88
