setup_id,link_order,env_pad_size,slow_ms,fast_ms,speedup
1,testdelsslow,0,2.7860,0.4590,6.07
2,testdelsslow,64,2.8060,0.4570,6.14
3,testdelsslow,256,2.7700,0.4280,6.47
4,testdelsslow,1024,2.7640,0.4570,6.05
5,fastslowtest,0,2.7800,0.4310,6.45
6,fastslowtest,64,2.9170,0.4490,6.50
7,fastslowtest,256,2.7820,0.4320,6.44
8,fastslowtest,1024,2.7660,0.4360,6.34
9,slowfasttest,0,2.9010,0.7800,3.72
10,slowfasttest,64,2.7790,0.4590,6.05
11,slowfasttest,256,2.7870,0.4230,6.59
12,slowfasttest,1024,2.9270,0.4570,6.40
