setup_id,link_order,env_pad_size,slow_ms,fast_ms,speedup
1,testdelsslow,0,3.2910,0.3670,8.97
2,testdelsslow,64,3.1970,0.5720,5.59
3,testdelsslow,256,3.3370,0.5690,5.86
4,testdelsslow,1024,3.2620,0.3260,10.01
5,fastslowtest,0,3.2630,0.3180,10.26
6,fastslowtest,64,3.3040,0.5670,5.83
7,fastslowtest,256,3.3210,0.3250,10.22
8,fastslowtest,1024,3.1680,0.5130,6.18
9,slowfasttest,0,3.1580,0.3490,9.05
10,slowfasttest,64,3.2790,0.3140,10.44
11,slowfasttest,256,3.1510,0.3450,9.13
12,slowfasttest,1024,3.2720,0.3210,10.19
