setup_id,link_order,env_pad_size,slow_ms,fast_ms,speedup
1,testdelsslow,0,447.6470,0.0360,12434.64
2,testdelsslow,64,445.9390,0.0390,11434.33
3,testdelsslow,256,444.3860,0.0440,10099.68
4,testdelsslow,1024,445.5090,0.0360,12375.25
5,fastslowtest,0,447.7530,0.0390,11480.85
6,fastslowtest,64,447.5730,0.0370,12096.57
7,fastslowtest,256,445.7140,0.0370,12046.32
8,fastslowtest,1024,446.0040,0.0360,12389.00
9,slowfasttest,0,446.5630,0.0390,11450.33
10,slowfasttest,64,447.5420,0.0370,12095.73
11,slowfasttest,256,447.4710,0.0380,11775.55
12,slowfasttest,1024,447.4910,0.0420,10654.55
