setup_id,link_order,env_pad_size,slow_ms,fast_ms,speedup
1,testdelsslow,0,3.4110,0.1250,27.29
2,testdelsslow,64,3.2500,0.1220,26.64
3,testdelsslow,256,3.3970,0.1250,27.18
4,testdelsslow,1024,3.3470,0.1220,27.43
5,fastslowtest,0,3.3580,0.1270,26.44
6,fastslowtest,64,3.2680,0.1240,26.35
7,fastslowtest,256,3.3340,0.1220,27.33
8,fastslowtest,1024,3.1950,0.1220,26.19
9,slowfasttest,0,3.3030,0.1220,27.07
10,slowfasttest,64,3.3420,0.1210,27.62
11,slowfasttest,256,3.3220,0.1260,26.37
12,slowfasttest,1024,3.3650,0.1290,26.09
