setup_id,link_order,env_pad_size,slow_ms,fast_ms,speedup
1,testdelsslow,0,6.1850,0.0430,143.84
2,testdelsslow,64,6.3140,0.0390,161.90
3,testdelsslow,256,6.1920,0.0360,172.00
4,testdelsslow,1024,6.2960,0.0350,179.89
5,fastslowtest,0,6.3170,0.0400,157.93
6,fastslowtest,64,6.3950,0.0350,182.71
7,fastslowtest,256,6.3010,0.0510,123.55
8,fastslowtest,1024,6.3770,0.0420,151.83
9,slowfasttest,0,6.0330,0.0360,167.58
10,slowfasttest,64,6.3030,0.0350,180.09
11,slowfasttest,256,6.2160,0.0360,172.67
12,slowfasttest,1024,6.1800,0.0400,154.50
