variant_id,pattern_id,category,difficulty,metadata_compiler_fixable,resistance_threshold,slow_ms_O0,fast_ms_O0,speedup_O0,resistant_O0,slow_ms_O2,fast_ms_O2,speedup_O2,resistant_O2,slow_ms_O3,fast_ms_O3,speedup_O3,resistant_O3,slow_ms_O3_fast_math,fast_ms_O3_fast_math,speedup_O3_fast_math,resistant_O3_fast_math,slow_ms_O3_lto,fast_ms_O3_lto,speedup_O3_lto,resistant_O3_lto
IS-2_v000,IS-2,Input-Sensitive Inefficiency,medium,False,1.1,21.252,17.147,1.24,True,12.73,10.659,1.19,True,13.91,10.55,1.32,True,12.763,10.164,1.26,True,12.812,10.61,1.21,True
IS-2_v001,IS-2,Input-Sensitive Inefficiency,medium,False,1.1,18.573,10.437,1.78,True,8.326,4.906,1.7,True,8.348,4.825,1.73,True,8.71,4.869,1.79,True,8.593,4.661,1.84,True
IS-2_v002,IS-2,Input-Sensitive Inefficiency,medium,False,1.1,19.161,8.112,2.36,True,12.614,3.14,4.02,True,12.716,3.357,3.79,True,12.189,3.112,3.92,True,11.648,3.187,3.65,True
IS-2_v003,IS-2,Input-Sensitive Inefficiency,medium,False,1.1,7.523,3.797,1.98,True,5.689,1.707,3.33,True,5.285,1.644,3.21,True,5.181,1.577,3.29,True,4.913,1.578,3.11,True
IS-2_v004,IS-2,Input-Sensitive Inefficiency,medium,False,1.1,33.106,14.617,2.26,True,12.874,5.26,2.45,True,13.006,5.276,2.47,True,13.063,5.341,2.45,True,11.967,5.226,2.29,True
IS-2_v005,IS-2,Input-Sensitive Inefficiency,medium,False,1.1,106.624,89.215,1.2,True,62.297,50.991,1.22,True,62.17,52.937,1.17,True,62.417,49.97,1.25,True,61.305,52.962,1.16,True
IS-2_v006,IS-2,Input-Sensitive Inefficiency,medium,False,1.1,18.634,14.235,1.31,True,10.371,8.142,1.27,True,10.357,7.786,1.33,True,10.292,7.888,1.3,True,10.168,8.198,1.24,True
IS-2_v007,IS-2,Input-Sensitive Inefficiency,medium,False,1.1,8.881,4.373,2.03,True,5.418,1.756,3.09,True,5.664,1.852,3.06,True,5.533,1.765,3.13,True,4.692,1.82,2.58,True
IS-2_v008,IS-2,Input-Sensitive Inefficiency,medium,False,1.1,46.443,35.763,1.3,True,25.84,20.673,1.25,True,25.526,19.651,1.3,True,26.768,19.56,1.37,True,25.599,20.905,1.22,True
IS-2_v009,IS-2,Input-Sensitive Inefficiency,medium,False,1.1,35.628,17.67,2.02,True,25.607,7.417,3.45,True,25.634,7.313,3.51,True,25.316,7.278,3.48,True,25.262,7.373,3.43,True
IS-2_v010,IS-2,Input-Sensitive Inefficiency,medium,False,1.1,114.315,97.282,1.18,True,63.649,54.467,1.17,True,64.574,55.22,1.17,True,63.221,54.422,1.16,True,61.628,55.616,1.11,True
IS-2_v011,IS-2,Input-Sensitive Inefficiency,medium,False,1.1,115.279,98.134,1.17,True,66.122,58.528,1.13,True,67.863,56.667,1.2,True,65.918,53.67,1.23,True,63.898,58.617,1.09,False
IS-2_v012,IS-2,Input-Sensitive Inefficiency,medium,False,1.1,34.59,17.471,1.98,True,18.543,7.251,2.56,True,18.074,7.815,2.31,True,15.62,7.328,2.13,True,14.911,7.424,2.01,True
IS-2_v013,IS-2,Input-Sensitive Inefficiency,medium,False,1.1,53.564,44.949,1.19,True,31.296,24.52,1.28,True,35.55,27.424,1.3,True,34.865,26.369,1.32,True,32.929,27.705,1.19,True
IS-2_v014,IS-2,Input-Sensitive Inefficiency,medium,False,1.1,24.699,11.686,2.11,True,14.744,4.657,3.17,True,14.912,4.699,3.17,True,13.894,4.221,3.29,True,12.631,4.542,2.78,True
