variant_id,pattern_id,category,difficulty,metadata_compiler_fixable,resistance_threshold,slow_ms_O0,fast_ms_O0,speedup_O0,resistant_O0,slow_ms_O2,fast_ms_O2,speedup_O2,resistant_O2,slow_ms_O3,fast_ms_O3,speedup_O3,resistant_O3,slow_ms_O3_fast_math,fast_ms_O3_fast_math,speedup_O3_fast_math,resistant_O3_fast_math,slow_ms_O3_lto,fast_ms_O3_lto,speedup_O3_lto,resistant_O3_lto
HO-MI-1_v000,HO-MI-1,Memory & IO,hard,False,2.0,58.302,3.116,18.71,True,57.734,3.063,18.85,True,57.565,2.975,19.35,True,58.709,3.179,18.47,True,57.758,3.028,19.07,True
HO-MI-2_v000,HO-MI-2,Memory & IO,hard,False,1.0,133.862,29.783,4.49,True,35.686,16.54,2.16,True,40.452,16.12,2.51,True,34.608,13.917,2.49,True,37.15,16.416,2.26,True
HO-MI-3_v000,HO-MI-3,Memory & IO,hard,False,2.0,99.286,84.665,1.17,False,30.999,12.287,2.52,True,31.627,12.279,2.58,True,33.275,12.668,2.63,True,30.644,12.248,2.5,True
HO-MI-4_v000,HO-MI-4,Memory & IO,hard,False,1.0,61.935,80.191,0.77,False,37.916,37.881,1.0,False,38.211,37.626,1.02,True,37.585,37.312,1.01,True,38.45,38.09,1.01,True
HO-SR-1_v000,HO-SR-1,Semantic Redundancy,hard,False,2.0,48.417,6.626,7.31,True,15.996,0.867,18.45,True,15.953,0.863,18.49,True,15.869,0.827,19.19,True,0.729,0.752,0.97,False
HO-SR-2_v000,HO-SR-2,Semantic Redundancy,hard,False,2.0,32.675,7.106,4.6,True,11.408,4.333,2.63,True,11.319,4.228,2.68,True,10.897,4.192,2.6,True,11.26,4.237,2.66,True
HO-SR-3_v000,HO-SR-3,Semantic Redundancy,hard,False,2.0,2.612,0.968,2.7,True,2.104,0.246,8.55,True,1.991,0.244,8.16,True,1.911,0.238,8.03,True,2.088,0.238,8.77,True
HO-SR-4_v000,HO-SR-4,Semantic Redundancy,hard,False,0.5,100.283,101.366,0.99,True,12.245,63.61,0.19,True,12.036,63.712,0.19,True,12.605,63.592,0.2,True,9.684,55.21,0.18,True
HO-SR-5_v000,HO-SR-5,Semantic Redundancy,hard,False,0.5,71.507,71.85,1.0,True,1.469,19.554,0.08,True,1.167,17.093,0.07,True,1.255,18.061,0.07,True,0.981,17.454,0.06,True
HO-SR-6_v000,HO-SR-6,Semantic Redundancy,hard,False,0.5,46.708,66.344,0.7,True,4.111,35.712,0.12,True,4.33,36.751,0.12,True,4.259,35.772,0.12,True,4.17,35.568,0.12,True
HO-SR-7_v000,HO-SR-7,Semantic Redundancy,hard,False,0.9,125.093,125.361,1.0,True,73.911,73.555,1.0,True,74.798,73.754,1.01,True,74.085,73.347,1.01,True,74.893,74.448,1.01,True
