variant_id,pattern_id,category,difficulty,metadata_compiler_fixable,resistance_threshold,slow_ms_O0,fast_ms_O0,speedup_O0,resistant_O0,slow_ms_O2,fast_ms_O2,speedup_O2,resistant_O2,slow_ms_O3,fast_ms_O3,speedup_O3,resistant_O3,slow_ms_O3_fast_math,fast_ms_O3_fast_math,speedup_O3_fast_math,resistant_O3_fast_math,slow_ms_O3_lto,fast_ms_O3_lto,speedup_O3_lto,resistant_O3_lto
HO-AL-1_v000,HO-AL-1,Algorithmic Inefficiency,hard,False,2.0,4.551,0.016,284.44,True,3.963,0.001,3963.0,True,4.068,0.001,4068.0,True,4.08,0.001,4080.0,True,4.131,0.001,4131.0,True
HO-AL-2_v000,HO-AL-2,Algorithmic Inefficiency,hard,False,2.0,48.068,4.399,10.93,True,54.818,1.011,54.22,True,51.458,0.978,52.62,True,44.361,1.013,43.79,True,47.394,1.013,46.79,True
HO-AL-3_v000,HO-AL-3,Algorithmic Inefficiency,hard,False,2.0,10.196,10.688,0.95,False,4.661,1.24,3.76,True,4.409,1.262,3.49,True,4.604,1.233,3.73,True,4.564,1.235,3.7,True
HO-AL-4_v000,HO-AL-4,Algorithmic Inefficiency,hard,False,0.5,17.336,50.396,0.34,False,10.53,10.89,0.97,True,10.484,10.877,0.96,True,4.286,6.991,0.61,True,10.468,10.84,0.97,True
HO-CF-1_v000,HO-CF-1,Control Flow,hard,False,2.0,48.546,4.479,10.84,True,31.769,2.72,11.68,True,31.679,2.723,11.63,True,31.809,1.249,25.47,True,31.899,2.731,11.68,True
HO-CF-2_v000,HO-CF-2,Control Flow,hard,False,1.05,,,,,6.291,5.765,1.09,True,6.325,5.684,1.11,True,6.095,5.678,1.07,True,-5991705254805.577,5.565,-1076676595652.39,False
HO-CF-3_v000,HO-CF-3,Control Flow,hard,False,0.95,6.762,8.808,0.77,False,3.255,3.284,0.99,True,3.411,3.387,1.01,True,3.321,3.315,1.0,True,3.405,3.448,0.99,True
HO-CF-4_v000,HO-CF-4,Control Flow,hard,False,1.3,3.814,1.165,3.27,True,1.193,0.331,3.6,True,1.187,0.354,3.35,True,1.179,0.354,3.33,True,1.109,0.332,3.34,True
HO-CF-5_v000,HO-CF-5,Control Flow,hard,False,1.5,8.09,3.429,2.36,True,3.729,2.023,1.84,True,3.785,1.989,1.9,True,3.473,1.939,1.79,True,3.772,2.05,1.84,True
HO-DS-1_v000,HO-DS-1,Data Structure Inefficiency,hard,False,2.0,8.678,1.96,4.43,True,7.919,0.703,11.26,True,8.234,0.685,12.02,True,8.243,0.329,25.05,True,8.126,0.724,11.22,True
HO-DS-2_v000,HO-DS-2,Data Structure Inefficiency,hard,False,2.0,127.554,10.414,12.25,True,25.839,5.942,4.35,True,25.629,5.865,4.37,True,25.809,5.984,4.31,True,25.497,7.028,3.63,True
HO-DS-3_v000,HO-DS-3,Data Structure Inefficiency,hard,False,2.0,1.865,0.641,2.91,True,1.714,0.058,29.55,True,1.498,0.057,26.28,True,1.476,0.057,25.89,True,1.939,0.06,32.32,True
HO-DS-4_v000,HO-DS-4,Data Structure Inefficiency,hard,False,2.0,90.971,57.429,1.58,False,91.991,20.362,4.52,True,93.262,18.299,5.1,True,94.654,18.209,5.2,True,102.741,20.22,5.08,True
HO-DS-5_v000,HO-DS-5,Data Structure Inefficiency,hard,False,1.5,94.818,114.77,0.83,False,15.7,6.931,2.27,True,16.342,7.002,2.33,True,6.883,8.397,0.82,False,16.006,6.998,2.29,True
HO-DS-6_v000,HO-DS-6,Data Structure Inefficiency,hard,False,0.5,126.81,253.367,0.5,False,48.076,55.461,0.87,True,47.986,55.476,0.86,True,16.33,55.37,0.29,False,47.666,55.83,0.85,True
HO-HR-1_v000,HO-HR-1,Human-Style Antipatterns,medium,False,2.0,14.111,11.384,1.24,False,7.884,2.459,3.21,True,7.522,2.476,3.04,True,7.873,2.359,3.34,True,7.676,2.456,3.13,True
HO-HR-2_v000,HO-HR-2,Human-Style Antipatterns,hard,False,0.95,28.54,28.695,0.99,True,7.213,7.134,1.01,True,7.248,7.099,1.02,True,7.26,7.122,1.02,True,7.22,7.093,1.02,True
HO-HR-3_v000,HO-HR-3,Human-Style Antipatterns,hard,False,0.95,8.303,7.362,1.13,True,0.906,0.506,1.79,True,1.037,0.498,2.08,True,0.887,0.476,1.86,True,0.88,0.487,1.81,True
HO-HR-4_v000,HO-HR-4,Human-Style Antipatterns,hard,False,2.0,23.28,5.772,4.03,True,16.332,0.13,125.63,True,16.34,0.13,125.69,True,16.342,0.138,118.42,True,16.302,0.131,124.44,True
HO-HR-5_v000,HO-HR-5,Human-Style Antipatterns,hard,False,2.0,20.35,12.294,1.66,False,4.912,0.81,6.06,True,4.933,0.813,6.07,True,4.974,0.801,6.21,True,4.844,0.812,5.97,True
HO-IS-1_v000,HO-IS-1,Input-Sensitive Inefficiency,hard,False,2.0,28.463,3.487,8.16,True,19.209,0.507,37.89,True,18.546,0.295,62.87,True,18.838,0.327,57.61,True,19.399,0.326,59.51,True
HO-IS-2_v000,HO-IS-2,Input-Sensitive Inefficiency,hard,False,2.0,134.528,65.238,2.06,True,94.814,43.505,2.18,True,94.545,43.59,2.17,True,95.406,43.555,2.19,True,94.713,43.897,2.16,True
HO-IS-3_v000,HO-IS-3,Input-Sensitive Inefficiency,hard,False,2.0,24.718,7.499,3.3,True,13.093,2.401,5.45,True,12.284,2.401,5.12,True,12.691,2.451,5.18,True,12.598,2.359,5.34,True
HO-IS-4_v000,HO-IS-4,Input-Sensitive Inefficiency,hard,False,1.5,30.576,19.537,1.57,True,15.335,9.566,1.6,True,14.897,9.562,1.56,True,15.44,9.533,1.62,True,15.941,9.319,1.71,True
HO-IS-5_v000,HO-IS-5,Input-Sensitive Inefficiency,hard,False,1.0,102.725,70.812,1.45,True,46.769,39.472,1.18,True,44.874,38.968,1.15,True,43.711,38.903,1.12,True,41.588,40.255,1.03,True
