variant_id,pattern_id,category,difficulty,metadata_compiler_fixable,resistance_threshold,slow_ms_O0,fast_ms_O0,speedup_O0,resistant_O0,slow_ms_O2,fast_ms_O2,speedup_O2,resistant_O2,slow_ms_O3,fast_ms_O3,speedup_O3,resistant_O3,slow_ms_O3_fast_math,fast_ms_O3_fast_math,speedup_O3_fast_math,resistant_O3_fast_math,slow_ms_O3_lto,fast_ms_O3_lto,speedup_O3_lto,resistant_O3_lto
MI-4_v000,MI-4,Memory & IO,medium,False,2.0,6.618,4.183,1.58,False,3.338,0.546,6.11,True,3.447,0.487,7.08,True,3.46,1.068,3.24,True,3.439,0.548,6.28,True
MI-4_v001,MI-4,Memory & IO,medium,False,2.0,3.696,3.503,1.06,False,1.402,0.687,2.04,True,1.45,0.659,2.2,True,1.435,0.646,2.22,True,1.444,0.657,2.2,True
MI-4_v002,MI-4,Memory & IO,medium,False,2.0,36.884,12.658,2.91,True,24.633,2.786,8.84,True,25.405,2.507,10.13,True,24.032,2.942,8.17,True,24.764,2.668,9.28,True
MI-4_v003,MI-4,Memory & IO,medium,False,2.0,92.202,25.447,3.62,True,73.614,4.303,17.11,True,73.815,4.3,17.17,True,73.232,4.804,15.24,True,73.403,4.332,16.94,True
MI-4_v004,MI-4,Memory & IO,medium,False,2.0,3.376,2.866,1.18,False,2.13,0.342,6.23,True,2.05,0.312,6.57,True,2.197,0.365,6.02,True,2.126,0.347,6.13,True
MI-4_v005,MI-4,Memory & IO,medium,False,2.0,9.276,6.525,1.42,False,6.539,4.671,1.4,False,5.786,4.451,1.3,False,5.909,0.463,12.76,True,5.857,4.45,1.32,False
MI-4_v006,MI-4,Memory & IO,medium,False,2.0,21.531,16.34,1.32,False,13.655,10.784,1.27,False,13.407,10.809,1.24,False,13.642,10.903,1.25,False,13.275,10.948,1.21,False
MI-4_v007,MI-4,Memory & IO,medium,False,2.0,5.522,4.359,1.27,False,3.883,3.133,1.24,False,3.777,3.129,1.21,False,3.827,0.292,13.11,True,3.794,3.123,1.21,False
MI-4_v008,MI-4,Memory & IO,medium,False,2.0,12.05,7.81,1.54,False,7.086,1.201,5.9,True,7.184,1.402,5.12,True,7.225,1.062,6.8,True,7.093,1.35,5.25,True
MI-4_v009,MI-4,Memory & IO,medium,False,2.0,11.807,7.312,1.61,False,11.597,2.112,5.49,True,12.081,2.247,5.38,True,11.865,2.227,5.33,True,11.977,2.068,5.79,True
MI-4_v010,MI-4,Memory & IO,medium,False,2.0,24.023,14.058,1.71,False,20.939,2.76,7.59,True,20.22,2.742,7.37,True,20.353,2.759,7.38,True,20.141,3.081,6.54,True
MI-4_v011,MI-4,Memory & IO,medium,False,2.0,1.659,1.385,1.2,False,0.635,0.113,5.62,True,0.654,0.112,5.84,True,0.629,0.112,5.62,True,0.635,0.131,4.85,True
MI-4_v012,MI-4,Memory & IO,medium,False,2.0,58.222,30.639,1.9,False,34.417,14.446,2.38,True,34.444,15.186,2.27,True,34.118,13.341,2.56,True,35.001,17.176,2.04,True
MI-4_v013,MI-4,Memory & IO,medium,False,2.0,6.222,4.231,1.47,False,3.66,2.661,1.38,False,3.939,2.642,1.49,False,3.654,0.509,7.18,True,3.837,2.664,1.44,False
MI-4_v014,MI-4,Memory & IO,medium,False,2.0,4.385,2.983,1.47,False,2.524,0.2,12.62,True,2.267,0.163,13.91,True,2.301,0.185,12.44,True,2.5,0.192,13.02,True
MI-4_v015,MI-4,Memory & IO,medium,False,2.0,1.794,1.52,1.18,False,1.183,1.036,1.14,False,1.209,1.044,1.16,False,1.224,0.092,13.3,True,1.269,1.065,1.19,False
MI-4_v016,MI-4,Memory & IO,medium,False,2.0,5.985,3.71,1.61,False,3.46,0.527,6.57,True,3.417,0.603,5.67,True,3.65,0.352,10.37,True,3.506,0.329,10.66,True
MI-4_v017,MI-4,Memory & IO,medium,False,2.0,2.469,1.666,1.48,False,2.071,0.285,7.27,True,2.061,0.29,7.11,True,1.869,0.294,6.36,True,1.949,0.314,6.21,True
MI-4_v018,MI-4,Memory & IO,medium,False,2.0,178.007,61.105,2.91,True,80.269,37.775,2.12,True,72.029,37.151,1.94,False,59.663,29.894,2.0,False,67.914,35.137,1.93,False
MI-4_v019,MI-4,Memory & IO,medium,False,2.0,3.59,2.286,1.57,False,2.129,1.56,1.36,False,2.087,1.489,1.4,False,2.082,0.152,13.7,True,1.88,1.487,1.26,False
