variant_id,pattern_id,category,difficulty,speedup_clang_O3,speedup_clang_polly,min_speedup_across_regimes,resistant
AL-1_v002,AL-1,Algorithmic Inefficiency,medium,1641.0,3306.0,1641.0,True
AL-1_v004,AL-1,Algorithmic Inefficiency,medium,1569.0,3770.0,1569.0,True
AL-1_v005,AL-1,Algorithmic Inefficiency,hard,63.33,51.0,51.0,True
AL-1_v007,AL-1,Algorithmic Inefficiency,medium,103909.0,60560.5,60560.5,True
AL-1_v000,AL-1,Algorithmic Inefficiency,hard,1476.0,2823.0,1476.0,True
AL-1_v001,AL-1,Algorithmic Inefficiency,medium,1425.0,3568.0,1425.0,True
AL-1_v006,AL-1,Algorithmic Inefficiency,hard,2786.0,2762.0,2762.0,True
AL-1_v008,AL-1,Algorithmic Inefficiency,hard,55.0,34.0,34.0,True
AL-1_v010,AL-1,Algorithmic Inefficiency,hard,15164.33,18509.0,15164.33,True
AL-1_v013,AL-1,Algorithmic Inefficiency,medium,1518.0,3549.0,1518.0,True
AL-1_v014,AL-1,Algorithmic Inefficiency,medium,167.0,180.0,167.0,True
AL-1_v011,AL-1,Algorithmic Inefficiency,medium,165109.67,38568.12,38568.12,True
AL-1_v003,AL-1,Algorithmic Inefficiency,hard,93183.75,153568.91,93183.75,True
AL-1_v012,AL-1,Algorithmic Inefficiency,medium,103540.4,156277.0,103540.4,True
AL-2_v000,AL-2,Algorithmic,hard,318.1,312.73,312.73,True
AL-2_v001,AL-2,Algorithmic,hard,136.96,133.01,133.01,True
AL-2_v003,AL-2,Algorithmic,hard,177.31,178.29,177.31,True
AL-1_v009,AL-1,Algorithmic Inefficiency,hard,61584.48,398543.25,61584.48,True
AL-2_v004,AL-2,Algorithmic,hard,201.89,132.07,132.07,True
AL-2_v005,AL-2,Algorithmic,hard,198.98,185.88,185.88,True
AL-2_v002,AL-2,Algorithmic,hard,228.24,228.37,228.24,True
AL-2_v006,AL-2,Algorithmic,hard,303.93,276.9,276.9,True
AL-2_v010,AL-2,Algorithmic,hard,162.38,173.27,162.38,True
AL-2_v007,AL-2,Algorithmic,hard,220.01,235.87,220.01,True
AL-2_v011,AL-2,Algorithmic,hard,293.71,300.29,293.71,True
AL-2_v012,AL-2,Algorithmic,hard,135.92,133.07,133.07,True
AL-2_v008,AL-2,Algorithmic,hard,197.39,235.46,197.39,True
AL-2_v013,AL-2,Algorithmic,hard,135.84,134.33,134.33,True
AL-2_v014,AL-2,Algorithmic,hard,133.62,131.94,131.94,True
AL-2_v009,AL-2,Algorithmic,hard,416.16,361.02,361.02,True
AL-3_v001,AL-3,Algorithmic,hard,57.65,39.15,39.15,True
AL-3_v003,AL-3,Algorithmic,hard,31.01,38.58,31.01,True
AL-3_v005,AL-3,Algorithmic,hard,57.5,74.25,57.5,True
AL-3_v006,AL-3,Algorithmic,hard,33.87,35.72,33.87,True
AL-3_v004,AL-3,Algorithmic,hard,70.71,80.22,70.71,True
AL-3_v000,AL-3,Algorithmic,hard,41.22,52.54,41.22,True
AL-3_v007,AL-3,Algorithmic,hard,44.41,43.42,43.42,True
