variant_id,pattern_id,category,difficulty,speedup_clang_O3,min_speedup_across_regimes,resistant
IS-4_v002,IS-4,Input-Sensitive Inefficiency,hard,6.68,6.68,True
IS-4_v003,IS-4,Input-Sensitive Inefficiency,hard,6.12,6.12,True
IS-4_v004,IS-4,Input-Sensitive Inefficiency,hard,6.45,6.45,True
IS-4_v005,IS-4,Input-Sensitive Inefficiency,hard,1.02,1.02,False
IS-4_v006,IS-4,Input-Sensitive Inefficiency,hard,6.06,6.06,True
IS-4_v007,IS-4,Input-Sensitive Inefficiency,hard,6.24,6.24,True
IS-4_v008,IS-4,Input-Sensitive Inefficiency,hard,1.0,1.0,False
IS-4_v009,IS-4,Input-Sensitive Inefficiency,hard,1.05,1.05,False
IS-4_v010,IS-4,Input-Sensitive Inefficiency,hard,6.08,6.08,True
IS-4_v011,IS-4,Input-Sensitive Inefficiency,hard,6.12,6.12,True
IS-4_v012,IS-4,Input-Sensitive Inefficiency,hard,1.0,1.0,False
IS-4_v013,IS-4,Input-Sensitive Inefficiency,hard,1.0,1.0,False
IS-4_v014,IS-4,Input-Sensitive Inefficiency,hard,8.14,8.14,True
IS-5_v001,IS-5,Input-Sensitive Inefficiency,hard,4.89,4.89,True
IS-5_v000,IS-5,Input-Sensitive Inefficiency,hard,2.32,2.32,True
IS-5_v002,IS-5,Input-Sensitive Inefficiency,hard,3.33,3.33,True
IS-5_v003,IS-5,Input-Sensitive Inefficiency,hard,3.03,3.03,True
IS-5_v004,IS-5,Input-Sensitive Inefficiency,hard,2.96,2.96,True
IS-5_v005,IS-5,Input-Sensitive Inefficiency,hard,2.78,2.78,True
IS-5_v006,IS-5,Input-Sensitive Inefficiency,hard,4.93,4.93,True
IS-5_v007,IS-5,Input-Sensitive Inefficiency,hard,3.13,3.13,True
IS-5_v008,IS-5,Input-Sensitive Inefficiency,hard,2.26,2.26,True
IS-5_v009,IS-5,Input-Sensitive Inefficiency,hard,3.47,3.47,True
IS-5_v010,IS-5,Input-Sensitive Inefficiency,hard,3.34,3.34,True
IS-5_v011,IS-5,Input-Sensitive Inefficiency,hard,3.03,3.03,True
IS-5_v012,IS-5,Input-Sensitive Inefficiency,hard,4.92,4.92,True
IS-5_v013,IS-5,Input-Sensitive Inefficiency,hard,5.22,5.22,True
IS-5_v014,IS-5,Input-Sensitive Inefficiency,hard,4.15,4.15,True
IS-5_v015,IS-5,Input-Sensitive Inefficiency,hard,3.18,3.18,True
IS-5_v016,IS-5,Input-Sensitive Inefficiency,hard,5.13,5.13,True
IS-5_v018,IS-5,Input-Sensitive Inefficiency,hard,2.65,2.65,True
IS-5_v017,IS-5,Input-Sensitive Inefficiency,hard,2.92,2.92,True
MI-1_v000,MI-1,Memory & IO,hard,29.11,29.11,True
IS-5_v019,IS-5,Input-Sensitive Inefficiency,hard,4.98,4.98,True
MI-1_v001,MI-1,Memory & IO,hard,18.85,18.85,True
MI-1_v002,MI-1,Memory & IO,hard,55.02,55.02,True
MI-1_v003,MI-1,Memory & IO,hard,55.83,55.83,True
MI-1_v004,MI-1,Memory & IO,hard,19.06,19.06,True
MI-1_v005,MI-1,Memory & IO,hard,18.28,18.28,True
MI-1_v006,MI-1,Memory & IO,hard,25.78,25.78,True
MI-1_v007,MI-1,Memory & IO,hard,25.7,25.7,True
MI-1_v008,MI-1,Memory & IO,hard,54.84,54.84,True
MI-1_v009,MI-1,Memory & IO,hard,30.0,30.0,True
MI-1_v010,MI-1,Memory & IO,hard,16.73,16.73,True
MI-1_v011,MI-1,Memory & IO,hard,37.66,37.66,True
MI-1_v012,MI-1,Memory & IO,hard,18.91,18.91,True
MI-1_v013,MI-1,Memory & IO,hard,55.88,55.88,True
MI-1_v014,MI-1,Memory & IO,hard,59.86,59.86,True
MI-2_v000,MI-2,Memory & IO,medium,3.12,3.12,True
MI-2_v001,MI-2,Memory & IO,medium,2.87,2.87,True
MI-2_v002,MI-2,Memory & IO,medium,3.06,3.06,True
MI-2_v003,MI-2,Memory & IO,medium,2.91,2.91,True
MI-2_v004,MI-2,Memory & IO,medium,2.88,2.88,True
MI-2_v005,MI-2,Memory & IO,medium,2.83,2.83,True
MI-2_v006,MI-2,Memory & IO,medium,2.67,2.67,True
MI-2_v007,MI-2,Memory & IO,medium,2.9,2.9,True
MI-2_v008,MI-2,Memory & IO,medium,3.26,3.26,True
MI-2_v009,MI-2,Memory & IO,medium,2.83,2.83,True
MI-2_v010,MI-2,Memory & IO,medium,2.93,2.93,True
MI-2_v011,MI-2,Memory & IO,medium,2.84,2.84,True
MI-2_v012,MI-2,Memory & IO,medium,2.94,2.94,True
MI-2_v013,MI-2,Memory & IO,medium,2.58,2.58,True
MI-2_v014,MI-2,Memory & IO,medium,2.88,2.88,True
MI-3_v000,MI-3,Memory & IO,hard,18.76,18.76,True
MI-3_v001,MI-3,Memory & IO,hard,16.56,16.56,True
MI-3_v002,MI-3,Memory & IO,hard,16.01,16.01,True
MI-3_v003,MI-3,Memory & IO,hard,17.5,17.5,True
MI-3_v004,MI-3,Memory & IO,hard,18.23,18.23,True
MI-3_v005,MI-3,Memory & IO,hard,16.54,16.54,True
MI-3_v006,MI-3,Memory & IO,hard,17.29,17.29,True
MI-3_v007,MI-3,Memory & IO,hard,18.35,18.35,True
MI-3_v008,MI-3,Memory & IO,hard,17.73,17.73,True
MI-3_v009,MI-3,Memory & IO,hard,18.27,18.27,True
MI-3_v010,MI-3,Memory & IO,hard,16.57,16.57,True
MI-3_v011,MI-3,Memory & IO,hard,13.18,13.18,True
MI-3_v012,MI-3,Memory & IO,hard,17.57,17.57,True
MI-3_v013,MI-3,Memory & IO,hard,16.01,16.01,True
MI-3_v014,MI-3,Memory & IO,hard,17.76,17.76,True
MI-4_v000,MI-4,Memory & IO,medium,10.55,10.55,True
MI-4_v001,MI-4,Memory & IO,medium,3.45,3.45,True
MI-4_v002,MI-4,Memory & IO,medium,8.87,8.87,True
MI-4_v003,MI-4,Memory & IO,medium,15.26,15.26,True
MI-4_v004,MI-4,Memory & IO,medium,8.26,8.26,True
MI-4_v005,MI-4,Memory & IO,medium,1.28,1.28,False
MI-4_v006,MI-4,Memory & IO,medium,1.18,1.18,False
MI-4_v007,MI-4,Memory & IO,medium,1.23,1.23,False
MI-4_v008,MI-4,Memory & IO,medium,7.29,7.29,True
MI-4_v009,MI-4,Memory & IO,medium,5.17,5.17,True
MI-4_v010,MI-4,Memory & IO,medium,7.2,7.2,True
MI-4_v011,MI-4,Memory & IO,medium,5.42,5.42,True
MI-4_v012,MI-4,Memory & IO,medium,,,
MI-4_v013,MI-4,Memory & IO,medium,1.36,1.36,False
MI-4_v014,MI-4,Memory & IO,medium,14.73,14.73,True
MI-4_v015,MI-4,Memory & IO,medium,1.19,1.19,False
MI-4_v016,MI-4,Memory & IO,medium,10.48,10.48,True
MI-4_v017,MI-4,Memory & IO,medium,6.26,6.26,True
MI-4_v018,MI-4,Memory & IO,medium,1.66,1.66,False
MI-4_v019,MI-4,Memory & IO,medium,1.32,1.32,False
SR-1_v000,SR-1,Semantic Redundancy,hard,729.36,729.36,True
SR-1_v002,SR-1,Semantic Redundancy,easy,960.11,960.11,True
SR-1_v003,SR-1,Semantic Redundancy,easy,144.06,144.06,True
SR-1_v001,SR-1,Semantic Redundancy,hard,53950.36,53950.36,True
SR-1_v004,SR-1,Semantic Redundancy,hard,41564.09,41564.09,True
SR-1_v006,SR-1,Semantic Redundancy,hard,8716.03,8716.03,True
SR-1_v008,SR-1,Semantic Redundancy,hard,1465.63,1465.63,True
SR-1_v009,SR-1,Semantic Redundancy,hard,1425.58,1425.58,True
SR-1_v007,SR-1,Semantic Redundancy,hard,55599.57,55599.57,True
SR-1_v012,SR-1,Semantic Redundancy,easy,4241.99,4241.99,True
SR-1_v014,SR-1,Semantic Redundancy,hard,7910.43,7910.43,True
SR-1_v013,SR-1,Semantic Redundancy,hard,5959.08,5959.08,True
SR-2_v000,SR-2,Semantic Redundancy,easy,30.96,30.96,True
SR-1_v011,SR-1,Semantic Redundancy,hard,33479.51,33479.51,True
SR-2_v002,SR-2,Semantic Redundancy,easy,29.43,29.43,True
SR-2_v001,SR-2,Semantic Redundancy,medium,212.17,212.17,True
SR-2_v003,SR-2,Semantic Redundancy,medium,68.3,68.3,True
SR-2_v005,SR-2,Semantic Redundancy,medium,66.4,66.4,True
SR-2_v006,SR-2,Semantic Redundancy,easy,32.4,32.4,True
SR-2_v008,SR-2,Semantic Redundancy,easy,27.14,27.14,True
SR-2_v009,SR-2,Semantic Redundancy,medium,65.56,65.56,True
SR-2_v004,SR-2,Semantic Redundancy,medium,251.48,251.48,True
SR-2_v011,SR-2,Semantic Redundancy,easy,28.33,28.33,True
SR-2_v012,SR-2,Semantic Redundancy,easy,30.94,30.94,True
SR-2_v010,SR-2,Semantic Redundancy,easy,285.17,285.17,True
SR-2_v007,SR-2,Semantic Redundancy,medium,217.31,217.31,True
SR-2_v016,SR-2,Semantic Redundancy,easy,34.89,34.89,True
SR-2_v018,SR-2,Semantic Redundancy,medium,80.92,80.92,True
SR-2_v019,SR-2,Semantic Redundancy,easy,27.36,27.36,True
SR-2_v013,SR-2,Semantic Redundancy,medium,240.37,240.37,True
SR-2_v014,SR-2,Semantic Redundancy,easy,233.02,233.02,True
SR-2_v015,SR-2,Semantic Redundancy,easy,224.62,224.62,True
SR-3_v002,SR-3,Semantic Redundancy,easy,338.8,338.8,True
SR-3_v000,SR-3,Semantic Redundancy,easy,13020.97,13020.97,True
SR-3_v001,SR-3,Semantic Redundancy,easy,10496.53,10496.53,True
SR-3_v003,SR-3,Semantic Redundancy,easy,2441.6,2441.6,True
SR-3_v004,SR-3,Semantic Redundancy,easy,603.96,603.96,True
SR-2_v017,SR-2,Semantic Redundancy,easy,254.72,254.72,True
SR-3_v005,SR-3,Semantic Redundancy,easy,8799.78,8799.78,True
SR-3_v006,SR-3,Semantic Redundancy,easy,2559.09,2559.09,True
SR-3_v007,SR-3,Semantic Redundancy,easy,1576.24,1576.24,True
SR-3_v009,SR-3,Semantic Redundancy,easy,2687.7,2687.7,True
SR-3_v011,SR-3,Semantic Redundancy,medium,5.8,5.8,True
SR-3_v010,SR-3,Semantic Redundancy,easy,8386.37,8386.37,True
SR-3_v012,SR-3,Semantic Redundancy,easy,4645.12,4645.12,True
SR-3_v013,SR-3,Semantic Redundancy,easy,2088.0,2088.0,True
SR-3_v014,SR-3,Semantic Redundancy,easy,5048.09,5048.09,True
SR-4_v000,SR-4,Semantic Redundancy,easy,253.43,253.43,True
SR-4_v002,SR-4,Semantic Redundancy,hard,7790.93,7790.93,True
SR-4_v004,SR-4,Semantic Redundancy,easy,1.26,1.26,False
SR-4_v001,SR-4,Semantic Redundancy,easy,53424.85,53424.85,True
SR-1_v005,SR-1,Semantic Redundancy,hard,72690.24,72690.24,True
SR-4_v005,SR-4,Semantic Redundancy,easy,1079.42,1079.42,True
SR-4_v008,SR-4,Semantic Redundancy,hard,25591.6,25591.6,True
SR-4_v007,SR-4,Semantic Redundancy,easy,3517.35,3517.35,True
SR-4_v011,SR-4,Semantic Redundancy,hard,1.69,1.69,False
SR-4_v006,SR-4,Semantic Redundancy,hard,7698.29,7698.29,True
SR-4_v010,SR-4,Semantic Redundancy,easy,23048.9,23048.9,True
SR-4_v009,SR-4,Semantic Redundancy,hard,2815.83,2815.83,True
SR-4_v012,SR-4,Semantic Redundancy,hard,1.5,1.5,False
SR-4_v003,SR-4,Semantic Redundancy,easy,16916.01,16916.01,True
SR-5_v000,SR-5,Semantic Redundancy,hard,34.86,34.86,True
SR-5_v001,SR-5,Semantic Redundancy,hard,37.3,37.3,True
SR-5_v002,SR-5,Semantic Redundancy,hard,33.7,33.7,True
SR-1_v010,SR-1,Semantic Redundancy,hard,196183.72,196183.72,True
SR-4_v013,SR-4,Semantic Redundancy,hard,14582.93,14582.93,True
SR-5_v003,SR-5,Semantic Redundancy,hard,58.91,58.91,True
SR-5_v004,SR-5,Semantic Redundancy,hard,20.62,20.62,True
SR-5_v005,SR-5,Semantic Redundancy,hard,246.36,246.36,True
SR-5_v007,SR-5,Semantic Redundancy,hard,83.77,83.77,True
SR-5_v006,SR-5,Semantic Redundancy,hard,139.26,139.26,True
SR-5_v008,SR-5,Semantic Redundancy,hard,231.19,231.19,True
SR-5_v009,SR-5,Semantic Redundancy,hard,121.72,121.72,True
SR-5_v010,SR-5,Semantic Redundancy,hard,34.48,34.48,True
SR-5_v012,SR-5,Semantic Redundancy,hard,113.75,113.75,True
SR-5_v011,SR-5,Semantic Redundancy,hard,141.27,141.27,True
SR-5_v013,SR-5,Semantic Redundancy,hard,138.08,138.08,True
SR-5_v014,SR-5,Semantic Redundancy,hard,89.71,89.71,True
SR-3_v008,SR-3,Semantic Redundancy,easy,43016.13,43016.13,True
SR-4_v014,SR-4,Semantic Redundancy,easy,37261.68,37261.68,True
