variant_id,pattern_id,category,difficulty,speedup_clang_O3,min_speedup_across_regimes,resistant
CF-3_v003,CF-3,Control Flow,hard,4.77,4.77,True
AL-4_v013,AL-4,Algorithmic,hard,1273569.0,1273569.0,True
CF-3_v004,CF-3,Control Flow,hard,4.76,4.76,True
CF-3_v005,CF-3,Control Flow,hard,2.55,2.55,True
CF-3_v006,CF-3,Control Flow,hard,2.4,2.4,True
CF-3_v007,CF-3,Control Flow,hard,4.51,4.51,True
CF-3_v008,CF-3,Control Flow,hard,4.93,4.93,True
CF-3_v009,CF-3,Control Flow,hard,2.58,2.58,True
CF-3_v010,CF-3,Control Flow,hard,2.55,2.55,True
CF-3_v011,CF-3,Control Flow,hard,2.29,2.29,True
AL-4_v005,AL-4,Algorithmic,hard,4930881.0,4930881.0,True
CF-3_v012,CF-3,Control Flow,hard,4.6,4.6,True
CF-3_v013,CF-3,Control Flow,hard,4.73,4.73,True
CF-3_v014,CF-3,Control Flow,hard,2.57,2.57,True
CF-4_v000,CF-4,Control Flow,hard,4.94,4.94,True
CF-4_v001,CF-4,Control Flow,hard,4.65,4.65,True
CF-4_v002,CF-4,Control Flow,hard,2.51,2.51,True
CF-4_v003,CF-4,Control Flow,hard,2.39,2.39,True
CF-4_v004,CF-4,Control Flow,hard,2.74,2.74,True
CF-4_v005,CF-4,Control Flow,hard,2.48,2.48,True
CF-4_v006,CF-4,Control Flow,hard,2.46,2.46,True
CF-4_v007,CF-4,Control Flow,hard,5.1,5.1,True
CF-4_v008,CF-4,Control Flow,hard,4.6,4.6,True
CF-4_v009,CF-4,Control Flow,hard,2.49,2.49,True
CF-4_v010,CF-4,Control Flow,hard,4.68,4.68,True
CF-4_v011,CF-4,Control Flow,hard,2.48,2.48,True
CF-4_v012,CF-4,Control Flow,hard,2.54,2.54,True
CF-4_v013,CF-4,Control Flow,hard,4.89,4.89,True
CF-4_v014,CF-4,Control Flow,hard,2.51,2.51,True
COMP_v001,COMP,Composed,hard,62.22,62.22,True
COMP_v002,COMP,Composed,hard,7.96,7.96,True
COMP_v000,COMP,Composed,hard,404.06,404.06,True
COMP_v003,COMP,Composed,hard,14.7,14.7,True
COMP_v004,COMP,Composed,hard,566.12,566.12,True
COMP_v005,COMP,Composed,hard,133.67,133.67,True
COMP_v006,COMP,Composed,hard,5.63,5.63,True
COMP_v007,COMP,Composed,hard,120.62,120.62,True
COMP_v008,COMP,Composed,hard,3.91,3.91,True
COMP_v009,COMP,Composed,hard,5.69,5.69,True
COMP_v010,COMP,Composed,hard,8.08,8.08,True
COMP_v011,COMP,Composed,hard,68.28,68.28,True
COMP_v012,COMP,Composed,hard,258.33,258.33,True
COMP_v013,COMP,Composed,hard,323.48,323.48,True
COMP_v014,COMP,Composed,hard,7.74,7.74,True
COMP_v015,COMP,Composed,hard,7.59,7.59,True
COMP_v016,COMP,Composed,hard,116.01,116.01,True
COMP_v017,COMP,Composed,hard,7.9,7.9,True
COMP_v018,COMP,Composed,hard,131.83,131.83,True
COMP_v020,COMP,Composed,hard,8.61,8.61,True
COMP_v019,COMP,Composed,hard,364.6,364.6,True
COMP_v022,COMP,Composed,hard,9.67,9.67,True
COMP_v023,COMP,Composed,hard,7.91,7.91,True
COMP_v021,COMP,Composed,hard,401.45,401.45,True
COMP_v025,COMP,Composed,hard,138.5,138.5,True
COMP_v024,COMP,Composed,hard,400.69,400.69,True
COMP_v026,COMP,Composed,hard,256.67,256.67,True
COMP_v027,COMP,Composed,hard,407.61,407.61,True
COMP_v029,COMP,Composed,hard,7.91,7.91,True
COMP_v031,COMP,Composed,hard,7.33,7.33,True
COMP_v028,COMP,Composed,hard,429.77,429.77,True
COMP_v030,COMP,Composed,hard,374.1,374.1,True
COMP_v032,COMP,Composed,hard,7.42,7.42,True
COMP_v035,COMP,Composed,hard,12.06,12.06,True
COMP_v033,COMP,Composed,hard,428.74,428.74,True
COMP_v034,COMP,Composed,hard,411.85,411.85,True
COMP_v036,COMP,Composed,hard,382.84,382.84,True
COMP_v037,COMP,Composed,hard,330.52,330.52,True
COMP_v038,COMP,Composed,hard,195.6,195.6,True
COMP_v040,COMP,Composed,hard,153.67,153.67,True
COMP_v041,COMP,Composed,hard,114.08,114.08,True
COMP_v039,COMP,Composed,hard,193.47,193.47,True
COMP_v042,COMP,Composed,hard,274.33,274.33,True
COMP_v043,COMP,Composed,hard,391.26,391.26,True
COMP_v044,COMP,Composed,hard,14.24,14.24,True
COMP_v045,COMP,Composed,hard,275.98,275.98,True
COMP_v046,COMP,Composed,hard,720.33,720.33,True
COMP_v047,COMP,Composed,hard,76.75,76.75,True
COMP_v049,COMP,Composed,hard,121.07,121.07,True
COMP_v050,COMP,Composed,hard,8.8,8.8,True
COMP_v048,COMP,Composed,hard,379.62,379.62,True
COMP_v052,COMP,Composed,hard,8.2,8.2,True
COMP_v051,COMP,Composed,hard,379.1,379.1,True
COMP_v054,COMP,Composed,hard,3384.52,3384.52,True
COMP_v053,COMP,Composed,hard,706.3,706.3,True
COMP_v055,COMP,Composed,hard,75.58,75.58,True
COMP_v056,COMP,Composed,hard,279.0,279.0,True
COMP_v058,COMP,Composed,hard,87.8,87.8,True
COMP_v059,COMP,Composed,hard,38.77,38.77,True
COMP_v057,COMP,Composed,hard,399.7,399.7,True
COMP_v060,COMP,Composed,hard,349.74,349.74,True
COMP_v062,COMP,Composed,hard,761.24,761.24,True
COMP_v061,COMP,Composed,hard,440.77,440.77,True
COMP_v063,COMP,Composed,hard,65.51,65.51,True
COMP_v064,COMP,Composed,hard,8.53,8.53,True
COMP_v065,COMP,Composed,hard,10.05,10.05,True
COMP_v066,COMP,Composed,hard,350.47,350.47,True
COMP_v067,COMP,Composed,hard,8.54,8.54,True
COMP_v068,COMP,Composed,hard,137.17,137.17,True
COMP_v069,COMP,Composed,hard,80.59,80.59,True
COMP_v071,COMP,Composed,hard,10.64,10.64,True
COMP_v070,COMP,Composed,hard,378.92,378.92,True
COMP_v073,COMP,Composed,hard,368.51,368.51,True
COMP_v074,COMP,Composed,hard,46.76,46.76,True
COMP_v072,COMP,Composed,hard,410.85,410.85,True
COMP_v076,COMP,Composed,hard,284.33,284.33,True
COMP_v075,COMP,Composed,hard,379.72,379.72,True
COMP_v077,COMP,Composed,hard,3486.08,3486.08,True
COMP_v078,COMP,Composed,hard,76.33,76.33,True
COMP_v079,COMP,Composed,hard,30.86,30.86,True
COMP_v081,COMP,Composed,hard,282.0,282.0,True
COMP_v080,COMP,Composed,hard,3409.03,3409.03,True
COMP_v083,COMP,Composed,hard,68.46,68.46,True
COMP_v084,COMP,Composed,hard,284.0,284.0,True
COMP_v085,COMP,Composed,hard,30.59,30.59,True
COMP_v082,COMP,Composed,hard,412.8,412.8,True
COMP_v086,COMP,Composed,hard,279.67,279.67,True
COMP_v088,COMP,Composed,hard,2941.51,2941.51,True
COMP_v087,COMP,Composed,hard,389.48,389.48,True
COMP_v089,COMP,Composed,hard,413.54,413.54,True
COMP_v090,COMP,Composed,hard,70.69,70.69,True
COMP_v091,COMP,Composed,hard,743.91,743.91,True
COMP_v093,COMP,Composed,hard,30.86,30.86,True
COMP_v094,COMP,Composed,hard,32.73,32.73,True
COMP_v092,COMP,Composed,hard,210.99,210.99,True
COMP_v095,COMP,Composed,hard,83.99,83.99,True
COMP_v096,COMP,Composed,hard,714.91,714.91,True
COMP_v098,COMP,Composed,hard,6.97,6.97,True
COMP_v097,COMP,Composed,hard,3272.18,3272.18,True
COMP_v099,COMP,Composed,hard,717.03,717.03,True
COMP_v100,COMP,Composed,hard,6.99,6.99,True
COMP_v101,COMP,Composed,hard,374.5,374.5,True
COMP_v104,COMP,Composed,hard,376.52,376.52,True
COMP_v103,COMP,Composed,hard,375.33,375.33,True
COMP_v102,COMP,Composed,hard,404.54,404.54,True
COMP_v105,COMP,Composed,hard,9.83,9.83,True
COMP_v107,COMP,Composed,hard,72.01,72.01,True
COMP_v106,COMP,Composed,hard,218.89,218.89,True
COMP_v109,COMP,Composed,hard,3470.18,3470.18,True
COMP_v110,COMP,Composed,hard,32.45,32.45,True
COMP_v108,COMP,Composed,hard,208.56,208.56,True
COMP_v111,COMP,Composed,hard,716.19,716.19,True
COMP_v112,COMP,Composed,hard,373.34,373.34,True
COMP_v113,COMP,Composed,hard,73.85,73.85,True
COMP_v115,COMP,Composed,hard,8.59,8.59,True
COMP_v114,COMP,Composed,hard,382.4,382.4,True
COMP_v116,COMP,Composed,hard,5.28,5.28,True
COMP_v117,COMP,Composed,hard,276.0,276.0,True
COMP_v118,COMP,Composed,hard,5.61,5.61,True
COMP_v119,COMP,Composed,hard,384.13,384.13,True
COMP_v121,COMP,Composed,hard,8.21,8.21,True
COMP_v120,COMP,Composed,hard,183.01,183.01,True
COMP_v122,COMP,Composed,hard,2602.52,2602.52,True
COMP_v123,COMP,Composed,hard,3415.33,3415.33,True
COMP_v125,COMP,Composed,hard,5.49,5.49,True
COMP_v126,COMP,Composed,hard,340.43,340.43,True
COMP_v127,COMP,Composed,hard,5.74,5.74,True
COMP_v124,COMP,Composed,hard,195.59,195.59,True
COMP_v128,COMP,Composed,hard,7.28,7.28,True
COMP_v130,COMP,Composed,hard,697.61,697.61,True
COMP_v131,COMP,Composed,hard,822.24,822.24,True
COMP_v129,COMP,Composed,hard,405.87,405.87,True
COMP_v133,COMP,Composed,hard,350.08,350.08,True
COMP_v132,COMP,Composed,hard,3548.52,3548.52,True
COMP_v134,COMP,Composed,hard,14.4,14.4,True
COMP_v135,COMP,Composed,hard,79.05,79.05,True
COMP_v136,COMP,Composed,hard,77.54,77.54,True
COMP_v138,COMP,Composed,hard,386.44,386.44,True
COMP_v139,COMP,Composed,hard,119.32,119.32,True
COMP_v137,COMP,Composed,hard,402.72,402.72,True
COMP_v140,COMP,Composed,hard,3540.24,3540.24,True
COMP_v141,COMP,Composed,hard,398.88,398.88,True
COMP_v142,COMP,Composed,hard,391.61,391.61,True
COMP_v145,COMP,Composed,hard,8.7,8.7,True
COMP_v143,COMP,Composed,hard,192.05,192.05,True
COMP_v146,COMP,Composed,hard,144.0,144.0,True
COMP_v144,COMP,Composed,hard,205.14,205.14,True
COMP_v148,COMP,Composed,hard,858.34,858.34,True
COMP_v149,COMP,Composed,hard,30.65,30.65,True
COMP_v147,COMP,Composed,hard,406.95,406.95,True
DS-1_v000,DS-1,Data Structure,hard,189.94,189.94,True
DS-1_v001,DS-1,Data Structure,hard,66.44,66.44,True
DS-1_v002,DS-1,Data Structure,hard,74.47,74.47,True
DS-1_v003,DS-1,Data Structure,hard,51.75,51.75,True
DS-1_v004,DS-1,Data Structure,hard,112.09,112.09,True
DS-1_v005,DS-1,Data Structure,hard,78.31,78.31,True
