variant_id,pattern_id,category,difficulty,metadata_compiler_fixable,slow_ms_O0,fast_ms_O0,speedup_O0,resistant_O0,slow_ms_O2,fast_ms_O2,speedup_O2,resistant_O2,slow_ms_O3,fast_ms_O3,speedup_O3,resistant_O3,slow_ms_O3_fast_math,fast_ms_O3_fast_math,speedup_O3_fast_math,resistant_O3_fast_math,slow_ms_O3_lto,fast_ms_O3_lto,speedup_O3_lto,resistant_O3_lto
AL-3_v006,AL-3,Algorithmic,hard,False,3969.434,84.521,46.96,True,1584.285,39.987,39.62,True,1611.903,44.11,36.54,True,1633.91,45.155,36.18,True,1620.464,40.182,40.33,True
AL-3_v007,AL-3,Algorithmic,hard,False,4927.272,84.091,58.59,True,1980.743,43.272,45.77,True,1988.68,42.548,46.74,True,2010.365,40.408,49.75,True,2068.704,39.911,51.83,True
AL-3_v008,AL-3,Algorithmic,hard,False,4965.675,42.611,116.54,True,1891.376,18.741,100.92,True,1858.671,19.768,94.02,True,1972.403,20.716,95.21,True,1976.797,20.709,95.46,True
AL-3_v009,AL-3,Algorithmic,hard,False,9894.829,89.086,111.07,True,3941.785,37.632,104.75,True,3840.546,37.556,102.26,True,3844.175,39.077,98.37,True,3696.631,38.451,96.14,True
AL-3_v010,AL-3,Algorithmic,hard,False,5142.618,84.589,60.8,True,1959.425,38.404,51.02,True,2038.591,40.321,50.56,True,2087.374,41.566,50.22,True,2048.027,37.424,54.72,True
AL-3_v011,AL-3,Algorithmic,hard,False,9936.439,86.232,115.23,True,3927.88,39.793,98.71,True,3817.85,37.184,102.67,True,3824.435,39.065,97.9,True,3697.135,37.762,97.91,True
AL-3_v012,AL-3,Algorithmic,hard,False,6088.1,83.647,72.78,True,2433.216,37.391,65.07,True,2463.669,39.973,61.63,True,2387.281,39.388,60.61,True,2355.245,35.302,66.72,True
AL-3_v013,AL-3,Algorithmic,hard,False,8033.924,84.418,95.17,True,3211.715,36.832,87.2,True,3108.098,36.332,85.55,True,3148.353,37.11,84.84,True,3009.581,39.479,76.23,True
AL-3_v014,AL-3,Algorithmic,hard,False,9955.664,89.554,111.17,True,3825.324,37.854,101.05,True,3858.349,38.827,99.37,True,3708.005,37.674,98.42,True,3655.648,39.516,92.51,True
AL-4_v000,AL-4,Algorithmic,hard,False,3341.925,0.000351,3341925.0,True,1453.076,0.00012,1453076.0,True,1460.739,0.000132,1460739.0,True,1419.99,0.000122,1419990.0,True,1436.911,3.8e-05,1436911.0,True
