variant_id,pattern_id,category,difficulty,speedup_clang_O3,speedup_clang_polly,min_speedup_across_regimes,resistant
AL-1_v006,AL-1,Algorithmic Inefficiency,hard,2979.0,2781.0,2781.0,True
AL-1_v000,AL-1,Algorithmic Inefficiency,hard,3033.0,2837.0,2837.0,True
AL-1_v005,AL-1,Algorithmic Inefficiency,hard,57.0,60.0,57.0,True
AL-1_v004,AL-1,Algorithmic Inefficiency,medium,1507.0,3422.0,1507.0,True
AL-1_v001,AL-1,Algorithmic Inefficiency,medium,1513.0,3644.0,1513.0,True
AL-1_v002,AL-1,Algorithmic Inefficiency,medium,1667.0,3483.0,1667.0,True
AL-1_v007,AL-1,Algorithmic Inefficiency,medium,36129.67,62132.5,36129.67,True
AL-1_v003,AL-1,Algorithmic Inefficiency,hard,113821.23,130735.67,113821.23,True
AL-1_v008,AL-1,Algorithmic Inefficiency,hard,59.0,57.0,57.0,True
AL-1_v010,AL-1,Algorithmic Inefficiency,hard,2393.53,25929.0,2393.53,True
AL-1_v013,AL-1,Algorithmic Inefficiency,medium,1697.0,3576.0,1697.0,True
AL-1_v014,AL-1,Algorithmic Inefficiency,medium,192.0,175.0,175.0,True
AL-1_v011,AL-1,Algorithmic Inefficiency,medium,43978.42,584748.0,43978.42,True
AL-1_v012,AL-1,Algorithmic Inefficiency,medium,263762.0,601653.0,263762.0,True
AL-1_v009,AL-1,Algorithmic Inefficiency,hard,116663.08,1553489.0,116663.08,True
AL-2_v000,AL-2,Algorithmic,hard,293.92,309.52,293.92,True
AL-2_v001,AL-2,Algorithmic,hard,135.45,134.65,134.65,True
AL-2_v003,AL-2,Algorithmic,hard,174.91,176.31,174.91,True
AL-2_v004,AL-2,Algorithmic,hard,197.0,129.4,129.4,True
AL-2_v005,AL-2,Algorithmic,hard,196.87,198.56,196.87,True
AL-2_v002,AL-2,Algorithmic,hard,246.03,240.58,240.58,True
AL-2_v006,AL-2,Algorithmic,hard,301.92,300.73,300.73,True
AL-2_v007,AL-2,Algorithmic,hard,236.98,246.65,236.98,True
AL-2_v008,AL-2,Algorithmic,hard,237.71,221.12,221.12,True
AL-2_v010,AL-2,Algorithmic,hard,196.61,194.0,194.0,True
AL-2_v011,AL-2,Algorithmic,hard,301.98,307.0,301.98,True
AL-2_v012,AL-2,Algorithmic,hard,137.17,137.34,137.17,True
AL-2_v009,AL-2,Algorithmic,hard,422.64,404.86,404.86,True
AL-2_v013,AL-2,Algorithmic,hard,134.51,132.96,132.96,True
