variant_id,pattern_id,category,difficulty,speedup_clang_O3,speedup_clang_polly,min_speedup_across_regimes,resistant
AL-2_v014,AL-2,Algorithmic,hard,135.74,130.44,130.44,True
AL-3_v001,AL-3,Algorithmic,hard,40.05,44.86,40.05,True
AL-3_v000,AL-3,Algorithmic,hard,33.32,35.14,33.32,True
AL-3_v003,AL-3,Algorithmic,hard,28.65,32.13,28.65,True
AL-3_v005,AL-3,Algorithmic,hard,62.06,47.81,47.81,True
AL-3_v006,AL-3,Algorithmic,hard,38.06,36.35,36.35,True
AL-3_v004,AL-3,Algorithmic,hard,81.7,59.29,59.29,True
AL-3_v007,AL-3,Algorithmic,hard,32.09,31.86,31.86,True
AL-3_v002,AL-3,Algorithmic,hard,54.45,43.11,43.11,True
AL-3_v008,AL-3,Algorithmic,hard,52.41,78.96,52.41,True
AL-3_v010,AL-3,Algorithmic,hard,30.49,29.3,29.3,True
AL-3_v012,AL-3,Algorithmic,hard,46.11,43.43,43.43,True
AL-3_v009,AL-3,Algorithmic,hard,62.91,54.18,54.18,True
AL-4_v000,AL-4,Algorithmic,hard,1390827.0,1696290.0,1390827.0,True
AL-3_v013,AL-3,Algorithmic,hard,44.82,52.2,44.82,True
AL-3_v011,AL-3,Algorithmic,hard,60.3,56.67,56.67,True
AL-3_v014,AL-3,Algorithmic,hard,62.79,70.79,62.79,True
AL-4_v003,AL-4,Algorithmic,hard,695911.0,918667.0,695911.0,True
AL-4_v002,AL-4,Algorithmic,hard,2599145.0,3248597.0,2599145.0,True
AL-4_v006,AL-4,Algorithmic,hard,1423135.0,1685077.0,1423135.0,True
AL-4_v008,AL-4,Algorithmic,hard,370641.0,444457.0,370641.0,True
AL-4_v007,AL-4,Algorithmic,hard,1366424.0,1688941.0,1366424.0,True
AL-4_v004,AL-4,Algorithmic,hard,2824156.0,3393511.0,2824156.0,True
AL-4_v009,AL-4,Algorithmic,hard,348514.0,423266.0,348514.0,True
AL-4_v001,AL-4,Algorithmic,hard,5421438.0,6606993.0,5421438.0,True
AL-4_v005,AL-4,Algorithmic,hard,5300677.0,6533927.0,5300677.0,True
AL-4_v012,AL-4,Algorithmic,hard,631512.0,831215.0,631512.0,True
AL-4_v010,AL-4,Algorithmic,hard,1314551.0,1687272.0,1314551.0,True
AL-4_v011,AL-4,Algorithmic,hard,1337750.0,1713322.0,1337750.0,True
AL-4_v014,AL-4,Algorithmic,hard,725912.0,791871.0,725912.0,True
CF-3_v000,CF-3,Control Flow,hard,2.51,2.49,2.49,True
AL-4_v013,AL-4,Algorithmic,hard,1343398.0,1672782.0,1343398.0,True
CF-3_v001,CF-3,Control Flow,hard,2.64,2.88,2.64,True
CF-3_v002,CF-3,Control Flow,hard,2.58,2.69,2.58,True
CF-3_v003,CF-3,Control Flow,hard,4.81,4.85,4.81,True
CF-3_v004,CF-3,Control Flow,hard,4.48,5.0,4.48,True
CF-3_v005,CF-3,Control Flow,hard,2.51,2.18,2.18,True
CF-3_v006,CF-3,Control Flow,hard,2.5,2.71,2.5,True
CF-3_v007,CF-3,Control Flow,hard,4.49,4.5,4.49,True
CF-3_v008,CF-3,Control Flow,hard,4.44,5.03,4.44,True
CF-3_v009,CF-3,Control Flow,hard,2.43,2.35,2.35,True
CF-3_v010,CF-3,Control Flow,hard,2.58,2.23,2.23,True
CF-3_v011,CF-3,Control Flow,hard,2.33,2.57,2.33,True
CF-3_v012,CF-3,Control Flow,hard,3.97,4.34,3.97,True
CF-3_v013,CF-3,Control Flow,hard,4.49,4.6,4.49,True
CF-3_v014,CF-3,Control Flow,hard,2.48,2.44,2.44,True
CF-4_v000,CF-4,Control Flow,hard,6.49,4.85,4.85,True
CF-4_v001,CF-4,Control Flow,hard,4.58,4.57,4.57,True
CF-4_v002,CF-4,Control Flow,hard,2.4,2.42,2.4,True
CF-4_v003,CF-4,Control Flow,hard,2.25,2.63,2.25,True
CF-4_v004,CF-4,Control Flow,hard,2.62,2.69,2.62,True
CF-4_v005,CF-4,Control Flow,hard,2.91,2.35,2.35,True
CF-4_v006,CF-4,Control Flow,hard,2.52,2.35,2.35,True
CF-4_v007,CF-4,Control Flow,hard,4.64,4.2,4.2,True
CF-4_v008,CF-4,Control Flow,hard,4.57,4.33,4.33,True
CF-4_v009,CF-4,Control Flow,hard,2.39,2.42,2.39,True
CF-4_v010,CF-4,Control Flow,hard,4.54,4.9,4.54,True
CF-4_v011,CF-4,Control Flow,hard,2.46,2.4,2.4,True
CF-4_v012,CF-4,Control Flow,hard,2.36,2.13,2.13,True
CF-4_v013,CF-4,Control Flow,hard,4.77,4.86,4.77,True
CF-4_v014,CF-4,Control Flow,hard,2.58,2.41,2.41,True
COMP_v000,COMP,Composed,hard,2.61,2.8,2.61,True
COMP_v001,COMP,Composed,hard,2.73,2.56,2.56,True
COMP_v002,COMP,Composed,hard,215.2,228.33,215.2,True
COMP_v003,COMP,Composed,hard,2.28,1.83,1.83,False
COMP_v004,COMP,Composed,hard,14.07,14.91,14.07,True
COMP_v005,COMP,Composed,hard,77.76,138.46,77.76,True
COMP_v006,COMP,Composed,hard,117.97,65.54,65.54,True
COMP_v008,COMP,Composed,hard,214.44,199.5,199.5,True
COMP_v007,COMP,Composed,hard,271.63,285.64,271.63,True
COMP_v010,COMP,Composed,hard,275.77,249.91,249.91,True
COMP_v009,COMP,Composed,hard,1.88,1.94,1.88,False
COMP_v011,COMP,Composed,hard,102530.0,121560.0,102530.0,True
COMP_v014,COMP,Composed,hard,7.04,7.73,7.04,True
COMP_v012,COMP,Composed,hard,218.01,210.98,210.98,True
COMP_v015,COMP,Composed,hard,280.0,59.86,59.86,True
COMP_v013,COMP,Composed,hard,436.12,368.17,368.17,True
COMP_v016,COMP,Composed,hard,269.94,289.61,269.94,True
COMP_v017,COMP,Composed,hard,2.29,1.92,1.92,False
COMP_v018,COMP,Composed,hard,399.03,337.8,337.8,True
COMP_v019,COMP,Composed,hard,9.46,6.02,6.02,True
COMP_v020,COMP,Composed,hard,8.93,8.66,8.66,True
COMP_v021,COMP,Composed,hard,1.96,1.94,1.94,False
COMP_v022,COMP,Composed,hard,134.71,51.62,51.62,True
COMP_v023,COMP,Composed,hard,77.7,75.83,75.83,True
COMP_v024,COMP,Composed,hard,276.29,226.56,226.56,True
COMP_v025,COMP,Composed,hard,279.99,280.2,279.99,True
COMP_v026,COMP,Composed,hard,8.52,2.57,2.57,True
COMP_v027,COMP,Composed,hard,3636.55,3459.74,3459.74,True
COMP_v028,COMP,Composed,hard,271.67,82.6,82.6,True
COMP_v029,COMP,Composed,hard,46.39,30.43,30.43,True
COMP_v030,COMP,Composed,hard,387.91,400.89,387.91,True
COMP_v031,COMP,Composed,hard,3847.29,3504.27,3504.27,True
COMP_v032,COMP,Composed,hard,15.39,6.88,6.88,True
COMP_v033,COMP,Composed,hard,14.85,4.9,4.9,True
COMP_v034,COMP,Composed,hard,49.17,34.0,34.0,True
COMP_v035,COMP,Composed,hard,80.18,80.28,80.18,True
COMP_v036,COMP,Composed,hard,137.87,127.0,127.0,True
COMP_v037,COMP,Composed,hard,1304.5,3694.0,1304.5,True
COMP_v038,COMP,Composed,hard,51.61,31.57,31.57,True
COMP_v039,COMP,Composed,hard,276.57,293.55,276.57,True
COMP_v040,COMP,Composed,hard,94.75,117.2,94.75,True
COMP_v041,COMP,Composed,hard,50.16,31.58,31.58,True
COMP_v042,COMP,Composed,hard,101640.0,117189.0,101640.0,True
COMP_v043,COMP,Composed,hard,3607.48,3548.57,3548.57,True
COMP_v044,COMP,Composed,hard,47.61,32.2,32.2,True
COMP_v045,COMP,Composed,hard,93.51,93.94,93.51,True
COMP_v046,COMP,Composed,hard,205.0,56.64,56.64,True
COMP_v047,COMP,Composed,hard,111.73,69.43,69.43,True
COMP_v048,COMP,Composed,hard,738.64,758.45,738.64,True
COMP_v049,COMP,Composed,hard,2584.0,3624.0,2584.0,True
COMP_v050,COMP,Composed,hard,282.48,280.3,280.3,True
COMP_v051,COMP,Composed,hard,8.14,8.62,8.14,True
COMP_v052,COMP,Composed,hard,798.22,435.39,435.39,True
COMP_v054,COMP,Composed,hard,52.83,73.42,52.83,True
COMP_v053,COMP,Composed,hard,399.86,413.25,399.86,True
COMP_v055,COMP,Composed,hard,284.39,348.49,284.39,True
COMP_v056,COMP,Composed,hard,2.53,2.79,2.53,True
COMP_v057,COMP,Composed,hard,7.43,7.46,7.43,True
COMP_v059,COMP,Composed,hard,51.1,30.72,30.72,True
COMP_v058,COMP,Composed,hard,1.93,1.85,1.85,False
COMP_v060,COMP,Composed,hard,282.94,276.47,276.47,True
COMP_v061,COMP,Composed,hard,280.23,252.73,252.73,True
COMP_v062,COMP,Composed,hard,15.81,13.84,13.84,True
COMP_v063,COMP,Composed,hard,59.98,50.98,50.98,True
COMP_v064,COMP,Composed,hard,385.59,348.4,348.4,True
COMP_v065,COMP,Composed,hard,391.83,371.15,371.15,True
COMP_v066,COMP,Composed,hard,34.93,40.68,34.93,True
COMP_v067,COMP,Composed,hard,3253.21,3489.67,3253.21,True
COMP_v068,COMP,Composed,hard,80.03,77.24,77.24,True
COMP_v070,COMP,Composed,hard,41.69,46.63,41.69,True
COMP_v071,COMP,Composed,hard,215.0,69.67,69.67,True
COMP_v069,COMP,Composed,hard,2.06,2.05,2.05,True
COMP_v072,COMP,Composed,hard,36.18,21.39,21.39,True
COMP_v073,COMP,Composed,hard,2.87,2.63,2.63,True
COMP_v074,COMP,Composed,hard,3014.0,3802.0,3014.0,True
COMP_v075,COMP,Composed,hard,2714.0,3469.0,2714.0,True
COMP_v076,COMP,Composed,hard,8.52,2.43,2.43,True
COMP_v078,COMP,Composed,hard,9.35,9.2,9.2,True
COMP_v077,COMP,Composed,hard,13.11,5.55,5.55,True
COMP_v079,COMP,Composed,hard,203.17,228.0,203.17,True
COMP_v080,COMP,Composed,hard,317.29,326.13,317.29,True
COMP_v081,COMP,Composed,hard,94465.0,108594.0,94465.0,True
COMP_v082,COMP,Composed,hard,24.95,24.76,24.76,True
COMP_v083,COMP,Composed,hard,1.9,1.83,1.83,False
COMP_v084,COMP,Composed,hard,56.64,53.9,53.9,True
COMP_v085,COMP,Composed,hard,32.33,30.61,30.61,True
COMP_v086,COMP,Composed,hard,110.89,84.35,84.35,True
COMP_v087,COMP,Composed,hard,52.21,29.91,29.91,True
COMP_v088,COMP,Composed,hard,47.63,30.72,30.72,True
COMP_v089,COMP,Composed,hard,10.02,11.03,10.02,True
COMP_v090,COMP,Composed,hard,76.47,127.4,76.47,True
COMP_v091,COMP,Composed,hard,4.84,4.99,4.84,True
COMP_v092,COMP,Composed,hard,10.68,10.58,10.58,True
COMP_v093,COMP,Composed,hard,2.82,2.65,2.65,True
COMP_v094,COMP,Composed,hard,8.28,2.75,2.75,True
COMP_v095,COMP,Composed,hard,8.37,6.36,6.36,True
COMP_v096,COMP,Composed,hard,8.42,6.4,6.4,True
COMP_v097,COMP,Composed,hard,26.3,29.9,26.3,True
COMP_v098,COMP,Composed,hard,148.69,168.25,148.69,True
COMP_v099,COMP,Composed,hard,5.1,3.61,3.61,True
COMP_v100,COMP,Composed,hard,266.97,360.18,266.97,True
COMP_v102,COMP,Composed,hard,32.6,44.31,32.6,True
COMP_v101,COMP,Composed,hard,457.65,433.31,433.31,True
COMP_v104,COMP,Composed,hard,10.26,9.55,9.55,True
COMP_v103,COMP,Composed,hard,427.59,442.34,427.59,True
COMP_v105,COMP,Composed,hard,165.2,59.6,59.6,True
COMP_v106,COMP,Composed,hard,37.1,29.45,29.45,True
COMP_v107,COMP,Composed,hard,2949.0,3547.0,2949.0,True
COMP_v108,COMP,Composed,hard,286.0,71.0,71.0,True
COMP_v109,COMP,Composed,hard,17.05,19.18,17.05,True
COMP_v110,COMP,Composed,hard,144.83,54.0,54.0,True
COMP_v111,COMP,Composed,hard,11.57,11.8,11.57,True
COMP_v112,COMP,Composed,hard,13.65,13.46,13.46,True
COMP_v113,COMP,Composed,hard,305.18,353.49,305.18,True
COMP_v114,COMP,Composed,hard,9.07,9.3,9.07,True
COMP_v115,COMP,Composed,hard,97.92,77.36,77.36,True
COMP_v116,COMP,Composed,hard,145.33,56.13,56.13,True
COMP_v117,COMP,Composed,hard,7.85,7.23,7.23,True
COMP_v118,COMP,Composed,hard,3516.91,3407.39,3407.39,True
COMP_v119,COMP,Composed,hard,2705.0,3514.0,2705.0,True
COMP_v120,COMP,Composed,hard,56.84,41.43,41.43,True
COMP_v122,COMP,Composed,hard,2.67,2.76,2.67,True
COMP_v121,COMP,Composed,hard,2.02,1.87,1.87,False
COMP_v123,COMP,Composed,hard,280.77,277.84,277.84,True
COMP_v124,COMP,Composed,hard,7.03,1.62,1.62,False
COMP_v125,COMP,Composed,hard,268.67,56.86,56.86,True
COMP_v126,COMP,Composed,hard,2615.0,1717.0,1717.0,True
COMP_v127,COMP,Composed,hard,328.21,329.02,328.21,True
COMP_v128,COMP,Composed,hard,394.79,334.87,334.87,True
COMP_v129,COMP,Composed,hard,93730.0,112239.0,93730.0,True
COMP_v130,COMP,Composed,hard,269.33,69.67,69.67,True
COMP_v131,COMP,Composed,hard,16.15,8.04,8.04,True
COMP_v132,COMP,Composed,hard,148.0,55.89,55.89,True
COMP_v133,COMP,Composed,hard,275.34,301.22,275.34,True
COMP_v134,COMP,Composed,hard,2.78,9.44,2.78,True
COMP_v135,COMP,Composed,hard,287.0,59.47,59.47,True
COMP_v136,COMP,Composed,hard,125.98,66.17,66.17,True
COMP_v137,COMP,Composed,hard,134916.0,133866.0,133866.0,True
COMP_v138,COMP,Composed,hard,6.16,5.84,5.84,True
COMP_v139,COMP,Composed,hard,181.92,153.77,153.77,True
COMP_v141,COMP,Composed,hard,12.86,19.91,12.86,True
COMP_v140,COMP,Composed,hard,13.95,5.57,5.57,True
COMP_v142,COMP,Composed,hard,11.61,12.71,11.61,True
COMP_v143,COMP,Composed,hard,157.13,142.43,142.43,True
COMP_v144,COMP,Composed,hard,36.37,33.77,33.77,True
COMP_v145,COMP,Composed,hard,217.67,222.44,217.67,True
COMP_v146,COMP,Composed,hard,10.39,12.14,10.39,True
COMP_v147,COMP,Composed,hard,56.06,56.68,56.06,True
COMP_v148,COMP,Composed,hard,6.8,1.49,1.49,False
COMP_v149,COMP,Composed,hard,10.23,7.36,7.36,True
COMP_v150,COMP,Composed,hard,122.69,43.14,43.14,True
COMP_v152,COMP,Composed,hard,2.83,2.72,2.72,True
COMP_v151,COMP,Composed,hard,367.16,282.98,282.98,True
COMP_v153,COMP,Composed,hard,53.01,52.52,52.52,True
COMP_v154,COMP,Composed,hard,2845.0,3629.0,2845.0,True
COMP_v155,COMP,Composed,hard,282.47,297.98,282.47,True
COMP_v156,COMP,Composed,hard,110946.0,120454.0,110946.0,True
COMP_v157,COMP,Composed,hard,264.34,385.2,264.34,True
COMP_v160,COMP,Composed,hard,121.18,56.66,56.66,True
COMP_v158,COMP,Composed,hard,258.83,374.29,258.83,True
COMP_v161,COMP,Composed,hard,5.03,4.66,4.66,True
COMP_v159,COMP,Composed,hard,224.54,180.71,180.71,True
COMP_v162,COMP,Composed,hard,276.31,290.37,276.31,True
COMP_v163,COMP,Composed,hard,129.56,175.42,129.56,True
COMP_v164,COMP,Composed,hard,117.39,125.94,117.39,True
COMP_v166,COMP,Composed,hard,2694.0,3871.0,2694.0,True
COMP_v167,COMP,Composed,hard,32.83,38.14,32.83,True
COMP_v165,COMP,Composed,hard,1.94,1.8,1.8,False
COMP_v169,COMP,Composed,hard,194.36,194.73,194.36,True
COMP_v168,COMP,Composed,hard,93.21,94.03,93.21,True
COMP_v171,COMP,Composed,hard,48.76,44.12,44.12,True
COMP_v170,COMP,Composed,hard,222.08,231.08,222.08,True
COMP_v172,COMP,Composed,hard,7.22,4.88,4.88,True
COMP_v173,COMP,Composed,hard,12.14,12.22,12.14,True
COMP_v174,COMP,Composed,hard,140.97,138.26,138.26,True
COMP_v176,COMP,Composed,hard,74.97,66.69,66.69,True
COMP_v175,COMP,Composed,hard,201.64,227.44,201.64,True
COMP_v177,COMP,Composed,hard,75.06,68.14,68.14,True
COMP_v179,COMP,Composed,hard,205.6,201.5,201.5,True
COMP_v178,COMP,Composed,hard,92.28,91.3,91.3,True
COMP_v180,COMP,Composed,hard,101559.0,115368.0,101559.0,True
COMP_v182,COMP,Composed,hard,9.07,9.4,9.07,True
COMP_v181,COMP,Composed,hard,201.63,170.31,170.31,True
COMP_v183,COMP,Composed,hard,11.6,12.17,11.6,True
COMP_v184,COMP,Composed,hard,8.38,2.91,2.91,True
COMP_v185,COMP,Composed,hard,2325.02,3557.35,2325.02,True
COMP_v186,COMP,Composed,hard,145.21,57.81,57.81,True
COMP_v187,COMP,Composed,hard,60.71,70.91,60.71,True
COMP_v188,COMP,Composed,hard,3809.97,3290.24,3290.24,True
COMP_v189,COMP,Composed,hard,347.23,370.02,347.23,True
COMP_v190,COMP,Composed,hard,1.89,1.84,1.84,False
COMP_v191,COMP,Composed,hard,8.63,2.63,2.63,True
COMP_v192,COMP,Composed,hard,2937.0,3743.0,2937.0,True
COMP_v193,COMP,Composed,hard,78.06,76.34,76.34,True
COMP_v194,COMP,Composed,hard,267.05,279.37,267.05,True
COMP_v195,COMP,Composed,hard,47.96,57.82,47.96,True
COMP_v196,COMP,Composed,hard,7.71,2.69,2.69,True
COMP_v197,COMP,Composed,hard,843.41,656.06,656.06,True
COMP_v199,COMP,Composed,hard,450.1,331.8,331.8,True
COMP_v200,COMP,Composed,hard,6.47,7.3,6.47,True
COMP_v198,COMP,Composed,hard,100.74,91.12,91.12,True
COMP_v201,COMP,Composed,hard,7.76,2.44,2.44,True
COMP_v202,COMP,Composed,hard,14.82,8.91,8.91,True
COMP_v203,COMP,Composed,hard,112602.0,110124.0,110124.0,True
COMP_v204,COMP,Composed,hard,13.91,14.47,13.91,True
COMP_v205,COMP,Composed,hard,5.03,4.96,4.96,True
COMP_v206,COMP,Composed,hard,2921.0,3513.0,2921.0,True
COMP_v208,COMP,Composed,hard,58.77,56.13,56.13,True
COMP_v207,COMP,Composed,hard,15.13,8.02,8.02,True
COMP_v209,COMP,Composed,hard,6.24,7.25,6.24,True
COMP_v210,COMP,Composed,hard,259.0,68.33,68.33,True
COMP_v211,COMP,Composed,hard,147.07,133.93,133.93,True
COMP_v212,COMP,Composed,hard,199.5,211.44,199.5,True
COMP_v215,COMP,Composed,hard,15.64,8.26,8.26,True
COMP_v213,COMP,Composed,hard,273.21,289.53,273.21,True
COMP_v216,COMP,Composed,hard,189.91,110.89,110.89,True
COMP_v217,COMP,Composed,hard,7.1,1.86,1.86,False
COMP_v214,COMP,Composed,hard,464.2,347.97,347.97,True
COMP_v218,COMP,Composed,hard,206.0,194.45,194.45,True
COMP_v219,COMP,Composed,hard,13.97,13.12,13.12,True
COMP_v220,COMP,Composed,hard,7.26,6.36,6.36,True
COMP_v221,COMP,Composed,hard,43.21,51.19,43.21,True
COMP_v222,COMP,Composed,hard,7.56,6.28,6.28,True
COMP_v223,COMP,Composed,hard,106949.0,104626.0,104626.0,True
COMP_v224,COMP,Composed,hard,7.88,1.9,1.9,False
COMP_v225,COMP,Composed,hard,46.37,52.09,46.37,True
COMP_v226,COMP,Composed,hard,271.33,49.22,49.22,True
COMP_v227,COMP,Composed,hard,33.4,48.47,33.4,True
COMP_v228,COMP,Composed,hard,98092.0,116910.0,98092.0,True
COMP_v229,COMP,Composed,hard,66.86,95.55,66.86,True
COMP_v230,COMP,Composed,hard,310.51,349.65,310.51,True
COMP_v233,COMP,Composed,hard,9.15,11.96,9.15,True
COMP_v232,COMP,Composed,hard,402.58,294.31,294.31,True
COMP_v231,COMP,Composed,hard,421.1,457.31,421.1,True
COMP_v234,COMP,Composed,hard,106.84,87.88,87.88,True
COMP_v235,COMP,Composed,hard,392.0,81.17,81.17,True
COMP_v236,COMP,Composed,hard,7.01,7.44,7.01,True
COMP_v237,COMP,Composed,hard,9.53,2.66,2.66,True
COMP_v238,COMP,Composed,hard,30.28,63.88,30.28,True
COMP_v239,COMP,Composed,hard,185.91,199.5,185.91,True
COMP_v241,COMP,Composed,hard,9.68,10.62,9.68,True
COMP_v242,COMP,Composed,hard,5.21,5.03,5.03,True
COMP_v243,COMP,Composed,hard,13.89,29.33,13.89,True
COMP_v240,COMP,Composed,hard,13.64,6.56,6.56,True
COMP_v244,COMP,Composed,hard,261.28,150.48,150.48,True
COMP_v245,COMP,Composed,hard,7.67,2.12,2.12,True
COMP_v246,COMP,Composed,hard,5.34,8.55,5.34,True
COMP_v247,COMP,Composed,hard,102226.0,312044.5,102226.0,True
COMP_v248,COMP,Composed,hard,99582.0,494501.0,99582.0,True
COMP_v249,COMP,Composed,hard,59.49,86.77,59.49,True
COMP_v251,COMP,Composed,hard,85.91,120.7,85.91,True
COMP_v250,COMP,Composed,hard,92.14,202.96,92.14,True
COMP_v252,COMP,Composed,hard,40.41,38.71,38.71,True
COMP_v253,COMP,Composed,hard,9.84,3.22,3.22,True
COMP_v254,COMP,Composed,hard,6.01,7.84,6.01,True
COMP_v256,COMP,Composed,hard,3.82,1.97,1.97,False
COMP_v257,COMP,Composed,hard,228.19,126.0,126.0,True
COMP_v255,COMP,Composed,hard,84.98,133.88,84.98,True
COMP_v258,COMP,Composed,hard,2760.0,1368.78,1368.78,True
COMP_v259,COMP,Composed,hard,113.34,107.23,107.23,True
COMP_v260,COMP,Composed,hard,186.26,79.2,79.2,True
COMP_v261,COMP,Composed,hard,4784.8,3410.0,3410.0,True
COMP_v262,COMP,Composed,hard,20.68,3.33,3.33,True
COMP_v265,COMP,Composed,hard,97.03,165.5,97.03,True
COMP_v266,COMP,Composed,hard,314922.0,119515.0,119515.0,True
COMP_v263,COMP,Composed,hard,265.91,215.34,215.34,True
COMP_v264,COMP,Composed,hard,2.45,2.13,2.13,True
COMP_v267,COMP,Composed,hard,128.47,293.2,128.47,True
COMP_v268,COMP,Composed,hard,7.68,2.56,2.56,True
COMP_v269,COMP,Composed,hard,5.0,4.91,4.91,True
COMP_v270,COMP,Composed,hard,10.45,10.53,10.45,True
COMP_v271,COMP,Composed,hard,93517.0,109162.0,93517.0,True
COMP_v273,COMP,Composed,hard,34.22,51.99,34.22,True
COMP_v272,COMP,Composed,hard,259.13,314.75,259.13,True
COMP_v274,COMP,Composed,hard,103584.0,96079.0,96079.0,True
COMP_v275,COMP,Composed,hard,397.72,420.6,397.72,True
COMP_v276,COMP,Composed,hard,12.02,11.99,11.99,True
COMP_v277,COMP,Composed,hard,103701.0,97232.0,97232.0,True
COMP_v278,COMP,Composed,hard,2972.0,3477.0,2972.0,True
COMP_v279,COMP,Composed,hard,55.34,54.47,54.47,True
COMP_v280,COMP,Composed,hard,53.47,51.37,51.37,True
COMP_v281,COMP,Composed,hard,142.0,52.07,52.07,True
COMP_v282,COMP,Composed,hard,4.84,4.91,4.84,True
COMP_v283,COMP,Composed,hard,13.63,5.87,5.87,True
COMP_v284,COMP,Composed,hard,2570.0,3472.0,2570.0,True
COMP_v285,COMP,Composed,hard,268.33,54.27,54.27,True
COMP_v286,COMP,Composed,hard,198.17,149.62,149.62,True
COMP_v287,COMP,Composed,hard,94.46,92.75,92.75,True
COMP_v288,COMP,Composed,hard,2620.0,3524.0,2620.0,True
COMP_v289,COMP,Composed,hard,7.71,8.14,7.71,True
COMP_v290,COMP,Composed,hard,8.65,8.65,8.65,True
COMP_v291,COMP,Composed,hard,7.34,8.04,7.34,True
COMP_v292,COMP,Composed,hard,93.05,93.37,93.05,True
COMP_v293,COMP,Composed,hard,2.47,2.36,2.36,True
COMP_v294,COMP,Composed,hard,199.0,219.4,199.0,True
COMP_v295,COMP,Composed,hard,3341.8,2966.09,2966.09,True
COMP_v296,COMP,Composed,hard,38.01,23.79,23.79,True
COMP_v297,COMP,Composed,hard,7.51,7.36,7.36,True
COMP_v298,COMP,Composed,hard,868.33,594.83,594.83,True
COMP_v299,COMP,Composed,hard,278.54,280.69,278.54,True
COMP_v300,COMP,Composed,hard,21.89,52.61,21.89,True
COMP_v301,COMP,Composed,hard,139.67,137.04,137.04,True
COMP_v302,COMP,Composed,hard,14.75,8.56,8.56,True
COMP_v303,COMP,Composed,hard,132.8,126.87,126.87,True
COMP_v305,COMP,Composed,hard,50.03,30.8,30.8,True
COMP_v304,COMP,Composed,hard,92.76,93.3,92.76,True
COMP_v306,COMP,Composed,hard,261.03,275.81,261.03,True
COMP_v308,COMP,Composed,hard,40.16,44.04,40.16,True
COMP_v307,COMP,Composed,hard,184.23,188.07,184.23,True
COMP_v309,COMP,Composed,hard,169.0,167.29,167.29,True
COMP_v310,COMP,Composed,hard,79.13,78.29,78.29,True
COMP_v311,COMP,Composed,hard,274.0,56.5,56.5,True
COMP_v313,COMP,Composed,hard,129.43,60.91,60.91,True
COMP_v312,COMP,Composed,hard,349.09,656.7,349.09,True
COMP_v314,COMP,Composed,hard,397.4,419.52,397.4,True
COMP_v315,COMP,Composed,hard,2.0,2.0,2.0,False
COMP_v316,COMP,Composed,hard,146.67,57.14,57.14,True
COMP_v317,COMP,Composed,hard,2819.0,3398.0,2819.0,True
COMP_v318,COMP,Composed,hard,412.25,433.34,412.25,True
COMP_v319,COMP,Composed,hard,95472.0,111887.0,95472.0,True
